ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
28,Andhra Pradesh,542,Srikakulam,571943,48481,738910,335684,10,0,102,0,0,3092,2075366
28,Andhra Pradesh,543,Vizianagaram,490989,135858,540336,271205,36,367,0,196,0,5548,5492310
28,Andhra Pradesh,544,Visakhapatanam,648743,318846,371430,435620,542,56,13,8,1,5278,5960859
28,Andhra Pradesh,545,East Godavari,396021,585246,316480,318696,52,24,1,10,0,18646,28117464
28,Andhra Pradesh,546,West Godavari,201102,627909,478551,207067,31,38,9,11,2,7459,18274444
28,Andhra Pradesh,547,Krishna,78846,669773,593007,196986,20,0,0,1,0,7361,15783526
28,Andhra Pradesh,548,Guntur,95927,882347,704863,196153,91,6,1,70,9,4128,8538782
28,Andhra Pradesh,549,Prakasam,68309,926651,2033479,498472,15,0,0,85,0,5676,1327666
28,Andhra Pradesh,550,Spsr Nellore,107858,745829,1370812,453820,15,1,1,35,71,3785,2149482
28,Andhra Pradesh,551,Y.S.R.,137099,486581,1869861,578607,63,1,0,101,0,3625,1853797
28,Andhra Pradesh,552,Kurnool,356122,419855,1985957,610574,188,32,53,853,0,11482,1288204
28,Andhra Pradesh,553,Anantapur,497102,285443,4926587,884186,239,20,60,3204,62,12767,2523575
28,Andhra Pradesh,554,Chittoor,950026,86680,1696698,535063,37,0,0,104,21,3111,14477677
