ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
18,Assam,833,Barpeta,482515,20629,51906,177709,1768,547,60,195,65,11276,3097705
18,Assam,834,BONGAIGAON,256952,1240,11557,107460,237,75,2,0,3,11217,1203076
18,Assam,835,Cachar,354843,50447,27098,139390,212,6,1,21,3,17830,1257160
18,Assam,836,DHEMAJI,526980,16654,2284,115091,401,50,0,1,0,232517,2023598
18,Assam,837,DHUBRI,356057,12427,32292,129714,725,27,0,18,0,1942,1426853
18,Assam,838,Dibrugarh,340624,12533,418,202377,23,14,0,5,0,111522,2057567
18,Assam,839,Goalpara,333621,8531,23191,102978,782,1,0,20,0,49598,1885216
18,Assam,840,Golaghat,611453,30549,2981,198300,826,6,26,8,14,118500,2600339
18,Assam,841,Hailakandi,132228,19215,9173,53181,89,44,0,18,5,2561,773556
18,Assam,842,Jorhat,432395,21097,610,173798,19,18,0,0,4,101073,2035327
18,Assam,843,Kamrup,499937,7076,17667,191743,1365,45,6,27,3,79230,1831405
18,Assam,844,Karbi Anglong,255056,3884,286,279632,15,1,0,0,0,188380,1398605
18,Assam,845,Karimganj,279167,27530,23544,80664,163,22,4,133,10,4054,1280905
18,Assam,846,Kokrajhar,333591,7833,14222,145530,221,72,3,10,1,105271,1146890
18,Assam,847,Lakhimpur,629028,11666,659,202071,113,0,0,5,0,195875,1916948
18,Assam,848,Morigaon,355479,4317,8435,82247,357,29,0,1,0,31322,1367583
18,Assam,849,Nagaon,626451,16304,18661,169825,1346,52,18,8,18,51182,2921646
18,Assam,850,Nalbari,250211,5814,15809,169294,351,2,0,0,0,15518,1098023
18,Assam,851,Dima Hasao,22576,34068,528,30702,10,616,0,22,7,34522,397436
18,Assam,852,Sibsagar,266031,14829,305,103976,51,3,34,2,1,64021,1293545
18,Assam,853,Sonitpur,513984,7162,2992,250708,36,6,4,7,0,76770,1996112
18,Assam,854,Tinsukia,382530,9747,118,154013,26,10,32,2,218,57396,1826842
18,Assam,855,Chirang,207668,1745,1468,62508,29,2,1,0,0,55800,734235
18,Assam,856,BAKSA,364106,813,5208,179978,34,0,0,0,6,81872,1241620
18,Assam,857,Udalguri,383132,2717,2084,131491,61,17,0,64,208,99245,1537621
18,Assam,858,Kamrup (M),120252,953,546,44614,27,14,18,2,0,28351,250531
18,Assam,859,Biswanath,362264,13108,6426,145186,264,92,515,28,0,92600,1025334
18,Assam,860,Majuli,123762,6245,69,20342,98,18,0,0,0,34345,165631
18,Assam,861,South Salmara,141918,4548,14993,61853,210,0,0,2,0,437,1022372
18,Assam,862,Soraideu,88609,916,9,47553,3,0,0,0,0,32694,645446
18,Assam,863,Hojai,298794,1221,1419,70814,123,0,0,8,0,7345,1153734
18,Assam,864,West Karbi Anglong,119599,8827,54,128552,1,0,0,0,0,83069,689126
18,Assam,865,DARRANG,457426,37070,35088,161879,877,131,0,293,1,21665,1410354
