ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
10,Bihar,203,Pashchim Champaran,411203,272643,1422,705184,491,177,0,18,0,9040,418559
10,Bihar,204,Purbi Champaran,403669,372782,1363,892014,846,1227,9,53,1,10407,962075
10,Bihar,205,Sheohar,40976,61812,124,185541,103,1,0,7,0,1022,181236
10,Bihar,206,Sitamarhi,179185,381261,272,654395,1079,784,10,229,12,5758,389471
10,Bihar,207,Madhubani,588709,489306,1855,416135,138,25,0,22,0,6987,270389
10,Bihar,208,Supaul,640781,326333,1403,365099,326,29,15,107,0,6578,260701
10,Bihar,209,Araria,746965,214461,281,445383,494,27,336,30,0,3515,754883
10,Bihar,210,Kishanganj,587175,60930,493,355735,79,36,3,79,0,8796,1181509
10,Bihar,211,Purnia,816498,242665,245,646481,544,0,6,10,0,9976,1248908
10,Bihar,212,Katihar,723503,95745,2274,601549,372,68,126,361,0,7758,792656
10,Bihar,213,Madhepura,472771,240327,2678,550897,1010,0,1,11,0,5665,154771
10,Bihar,214,Saharsa,429494,206350,445,367647,1773,1,4,25,0,5372,89988
10,Bihar,215,Darbhanga,331723,328915,221,328802,562,396,21,119,0,4791,353147
10,Bihar,216,Muzaffarpur,425801,296568,1518,696340,433,40,10,50,4,3389,887235
10,Bihar,217,Gopalganj,247247,94141,791,257811,343,140,23,366,4,3572,840655
10,Bihar,218,Siwan,357680,175200,1459,188389,396,75,94,496,3,4377,590331
10,Bihar,219,Saran,423418,194841,7283,228327,1333,139,19,580,11,6747,351056
10,Bihar,220,Vaishali,272893,160662,2790,392611,339,0,6,23,23,2281,641495
10,Bihar,221,Samastipur,529775,193457,2178,488063,420,2,0,60,0,2818,597047
10,Bihar,222,Begusarai,456975,86408,215,213315,1023,1,6,23,3,1716,203960
10,Bihar,223,Khagaria,297675,94059,194,275780,4263,0,0,11,0,3136,79844
10,Bihar,224,Bhagalpur,636551,249668,1394,476581,2568,163,87,522,0,4136,270710
10,Bihar,225,Banka,719136,112126,8823,452364,359,9,20,2,0,26384,225931
10,Bihar,226,Munger,202078,43189,2761,218816,1395,12,0,4,0,2332,79032
10,Bihar,227,Lakhisarai,139570,56853,220,103711,1108,9,0,4,1,1290,118634
10,Bihar,228,Sheikhpura,83361,56508,1512,75397,91,4,3,16,6,3270,91949
10,Bihar,229,Nalanda,210772,279860,9636,153042,393,81,0,44,0,12007,684687
10,Bihar,230,Patna,452997,325831,9836,191314,867,16,3,134,10,22000,398922
10,Bihar,231,Bhojpur,275739,260590,17945,116417,1639,101,191,1621,7,17224,342402
10,Bihar,232,Buxar,203086,171747,14117,54044,854,117,162,1496,1,3656,124386
10,Bihar,233,Kaimur (Bhabua),244393,242604,42114,111876,615,84,156,1530,0,4207,244217
10,Bihar,234,Rohtas,347549,335397,24039,193234,526,29,99,887,1,6928,404511
10,Bihar,235,Aurangabad,466108,196443,26284,240057,95,19,7,385,0,4022,684176
10,Bihar,236,Gaya,830383,320917,15596,449746,149,1003,72,1869,0,63741,775991
10,Bihar,237,Nawada,404339,133116,2168,281504,54,5,0,14,0,22524,330251
10,Bihar,238,Jamui,636265,132519,3612,353051,162,24,2,7,0,19838,169744
10,Bihar,239,Jehanabad,91151,125475,1821,57068,62,1,0,18,1,10785,236846
10,Bihar,240,Arwal,70386,88085,1995,37496,27,0,0,31,0,5389,93044
