ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
22,Chhattisgarh,400,Korea,380862,71564,30,209357,68,0,8,0,0,4213,439310
22,Chhattisgarh,401,Surguja,364306,70181,462,288535,10,0,0,0,0,12427,419622
22,Chhattisgarh,402,Jashpur,433037,33416,5387,445166,43,0,0,0,0,39705,525189
22,Chhattisgarh,403,Raigarh,379028,24334,19331,217858,22,0,0,5,0,10288,348050
22,Chhattisgarh,404,Korba,353801,52664,42,187421,14,0,0,15,0,2308,309661
22,Chhattisgarh,405,Janjgir-Champa,514307,35802,7415,78461,68,25,3,0,0,3116,428564
22,Chhattisgarh,406,Bilaspur,606719,98293,3513,206088,13,19,4,13,0,4481,724891
22,Chhattisgarh,407,Kabirdham (Kawardha),358678,40090,829,77181,29,21,0,0,0,4812,147719
22,Chhattisgarh,408,Rajnandgaon,746200,60832,8645,140555,8,6,0,5,0,11547,2101990
22,Chhattisgarh,409,Durg,307693,51122,7472,61499,73,3,6,9,0,1594,1661112
22,Chhattisgarh,410,Raipur,343625,62579,8227,70311,29,18,0,4,0,1749,2506337
22,Chhattisgarh,411,Mahasamund,305152,23237,15821,123996,6,6,0,8,1,3494,1117442
22,Chhattisgarh,412,Dhamtari,254795,39107,357,58582,27,0,0,0,0,7260,345763
22,Chhattisgarh,413,Kanker,343329,21558,2602,185263,18,2,0,6,0,62735,898114
22,Chhattisgarh,414,Bastar,285561,50383,28028,98170,10,0,0,0,0,39001,1096465
22,Chhattisgarh,415,Narayanpur,192146,16677,67,78041,0,0,0,0,0,57157,248627
22,Chhattisgarh,416,Dantewada,187630,17570,94,75745,2,3,0,0,0,42867,428905
22,Chhattisgarh,417,Bijapur,272442,14721,391,150220,0,0,0,0,0,64683,604788
22,Chhattisgarh,664,Balod,336482,30225,5610,54331,6,0,0,2,0,2137,1117074
22,Chhattisgarh,665,Baloda Bazar,514511,57111,7637,100638,11,0,0,0,0,3124,664778
22,Chhattisgarh,666,Balrampur,461363,56111,5071,348178,25,13,0,2,0,22180,398343
22,Chhattisgarh,667,Bemetara,417937,54713,8945,102089,2,0,0,65,0,1749,40940
22,Chhattisgarh,670,Gariyaband,253669,27031,33889,81932,19,0,0,6,0,2328,311750
22,Chhattisgarh,674,Kondagaon,339576,29604,4600,90235,36,12,0,1,0,52891,773743
22,Chhattisgarh,676,Mungeli,263370,36900,1207,74258,0,0,0,0,0,1084,46615
22,Chhattisgarh,685,Sukma,389067,25202,3978,149185,0,0,0,0,0,63554,700658
22,Chhattisgarh,686,Surajpur,378668,73695,579,252362,8,0,0,1,0,4417,305374
