ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
24,Gujarat,797,AHMADABAD,211977,381499,14652,90062,988,29,0,485,592,26,419107
24,Gujarat,798,AMRELI,207241,178787,77036,125050,1526,0,0,23,1,0,1609
24,Gujarat,799,ANAND,273505,460860,9676,94277,509,3,0,2457,976,246,7261627
24,Gujarat,800,BANAS KANTHA,1390357,1501537,118204,387986,1938,0,0,250,3831,12,999755
24,Gujarat,801,BHARUCH,122344,162523,4536,160068,476,12,0,459,811,0,344399
24,Gujarat,802,BHAVNAGAR,226407,291930,132151,110133,1357,8,0,70,242,0,1490774
24,Gujarat,803,DANG,74901,23235,285,21093,1,0,0,0,0,64,234182
24,Gujarat,804,DOHAD,656223,524521,2533,878061,91,0,0,747,12,93,551838
24,Gujarat,805,GANDHINAGAR,184736,322574,21237,63695,543,0,0,312,1505,0,182857
24,Gujarat,806,JAMNAGAR,139176,162333,214785,130282,681,0,0,57,1115,53,143480
24,Gujarat,807,JUNAGADH,165769,211414,18499,59682,648,0,0,10,216,20,170895
24,Gujarat,808,KACHCHH,574837,466341,610629,439258,3087,12,0,1337,9053,0,171629
24,Gujarat,809,KHEDA,265460,616160,20096,102279,434,0,5,1096,240,13,1644991
24,Gujarat,810,MAHESANA,323858,488302,10913,111500,975,1,0,173,3409,1,157290
24,Gujarat,811,NARMADA,177550,76314,21,89966,57,0,0,74,0,5,142442
24,Gujarat,812,NAVSARI,231544,61865,1159,68636,205,0,0,58,2,58,1822239
24,Gujarat,813,PANCH MAHALS,335220,434464,1427,332360,236,0,0,1564,62,0,207032
24,Gujarat,814,PATAN,173660,432837,45920,101011,1024,0,0,156,2262,0,80751
24,Gujarat,815,PORBANDAR,64465,143534,17061,14855,202,0,0,0,223,0,22007
24,Gujarat,816,RAJKOT,377285,269056,128874,104797,1232,0,0,43,53,39,23644
24,Gujarat,817,SABAR KANTHA,459921,417008,47918,210505,270,0,0,230,794,0,334270
24,Gujarat,818,SURAT,271863,251048,4307,58055,626,21,0,100,14,27,137213
24,Gujarat,819,SURENDRANAGAR,325680,350911,44759,117945,1586,2,0,51,155,0,1198
24,Gujarat,820,VADODARA,152980,340490,5764,130662,426,8,0,576,36,0,370478
24,Gujarat,821,VALSAD,309310,63855,1271,83000,85,0,0,0,2,1,1726075
24,Gujarat,822,TAPI,224128,180659,560,49644,33,0,0,28,0,0,601471
24,Gujarat,823,CHHOTAUDEPUR,324217,209696,87,183686,111,0,0,244,3,0,335932
24,Gujarat,824,Mahisagar,308108,406003,9083,162603,117,0,0,362,9,0,244150
24,Gujarat,825,ARVALLI,425032,384808,30536,177028,245,0,0,216,332,0,276935
24,Gujarat,826,MORBI,141984,174976,97972,66893,501,0,0,7,297,0,1630273
24,Gujarat,827,DEVBHUMI DWARKA,126026,284636,63099,50443,302,0,0,70,1311,0,12610
24,Gujarat,828,GIR SOMNATH,212526,193958,22486,49163,178,0,0,19,39,0,29990
24,Gujarat,829,BOTAD,175347,75116,9727,43066,1025,0,0,12,23,0,249
