ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
2,Himachal Pradesh,23,Chamba,261939,24794,242571,223558,1178,20,6019,257,0,137,41404
2,Himachal Pradesh,24,Kangra,295959,133697,102743,214555,1890,93,3087,263,3,593,468479
2,Himachal Pradesh,25,Lahul And Spiti,11678,0,23380,3078,536,9,12,1467,0,0,1763
2,Himachal Pradesh,26,Kullu,155109,1301,133122,58800,859,4,789,52,0,27,11542
2,Himachal Pradesh,27,Mandi,359296,63856,91631,189289,1524,19,4451,100,0,146,31847
2,Himachal Pradesh,28,Hamirpur,19789,97246,6909,24285,88,13,609,60,1,109,27748
2,Himachal Pradesh,29,Una,60367,113042,134,12410,105,0,82,20,3,235,408000
2,Himachal Pradesh,30,Bilaspur,44776,99514,885,74243,33,10,644,82,0,487,45121
2,Himachal Pradesh,31,Solan,130736,70674,772,47412,68,49,763,42,0,355,226624
2,Himachal Pradesh,32,Sirmaur,245697,36838,5274,134881,383,60,1456,134,19,258,32586
2,Himachal Pradesh,33,Shimla,220176,5603,99643,86137,1250,233,1979,540,0,130,27321
2,Himachal Pradesh,34,Kinnaur,22495,0,84281,39765,282,145,524,1780,0,0,19516
