ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
1,Jammu And Kashmir,1,Kupwara,182998,2251,151255,55012,2059,405,274,3,0,0,374179
1,Jammu And Kashmir,2,Badgam,145153,730,178790,16193,2171,224,10,1,0,0,763606
1,Jammu And Kashmir,3,Leh Ladakh,35839,0,83281,176396,1763,64,0,2647,298,0,12795
1,Jammu And Kashmir,4,Kargil,48362,0,115220,63710,2762,22,12,3543,0,0,53961
1,Jammu And Kashmir,5,Poonch,53654,114672,135751,114279,3437,85,64,12,0,0,267560
1,Jammu And Kashmir,6,Rajauri,107789,148583,299010,286076,6405,10,2072,61,0,76,264325
1,Jammu And Kashmir,7,Kathua,208886,67456,281569,221215,5316,680,1474,95,25,123,772217
1,Jammu And Kashmir,8,Baramulla,157725,2542,183761,41068,1837,401,10,2,0,0,806242
1,Jammu And Kashmir,9,Bandipora,76888,794,104406,17224,818,2073,108,4,0,0,255555
1,Jammu And Kashmir,10,Srinagar,37395,131,35925,2146,104,1,0,0,0,0,390967
1,Jammu And Kashmir,11,Ganderbal,61627,311,55420,9843,556,1837,2,2,0,0,692270
1,Jammu And Kashmir,12,Pulwama,97234,794,133982,3887,41,1512,6,211,0,0,1135949
1,Jammu And Kashmir,13,Shopian,69552,2445,113911,1808,316,2384,0,4,0,0,86625
1,Jammu And Kashmir,14,Anantnag,188611,2514,180693,10860,2568,3544,97,1514,0,0,291153
1,Jammu And Kashmir,15,Kulgam,110416,1504,105170,3591,682,377,0,1,0,0,132949
1,Jammu And Kashmir,16,Doda,165672,18083,297846,68161,1999,16,5225,258,0,0,171195
1,Jammu And Kashmir,17,Ramban,136425,19239,86670,25937,1757,253,654,311,0,0,87101
1,Jammu And Kashmir,18,Kishtwar,93729,8216,188105,74472,1320,513,2448,752,0,0,35071
1,Jammu And Kashmir,19,Udhampur,205243,79925,269023,191129,2632,86,1424,8,16,476,66314
1,Jammu And Kashmir,20,Reasi,98707,67365,165447,159556,5003,524,2623,74,14,386,125458
1,Jammu And Kashmir,21,Jammu,187043,122905,49020,130140,3136,30,172,13,97,148,282251
1,Jammu And Kashmir,22,Samba,70292,30369,33248,57515,1478,134,47,47,16,6,298565
