ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
20,Jharkhand,346,Garhwa,701752,73950,24978,414456,30,46,0,7,0,31478,379207
20,Jharkhand,347,Chatra,510637,102000,457,300965,37,1,0,33,0,73570,691061
20,Jharkhand,348,Koderma,183651,20496,430,120382,31,6,0,0,0,3198,144502
20,Jharkhand,349,Giridih,973869,112335,11982,730195,26,4,0,79,0,53106,1011059
20,Jharkhand,350,Deoghar,692698,54383,25022,472849,22,7,0,0,0,30129,486755
20,Jharkhand,351,Godda,684653,96016,4717,288944,453,86,14,11,0,104736,484890
20,Jharkhand,352,Sahebganj,263183,46545,3706,354589,53,25,0,21,0,68045,578693
20,Jharkhand,353,Pakur,387417,70215,46812,309543,48,32,5,128,0,97940,775126
20,Jharkhand,354,Dhanbad,349900,32673,18496,271044,32,2,0,7,0,36002,978104
20,Jharkhand,355,Bokaro,400941,28525,16375,345816,48,0,9,7,0,16696,1642424
20,Jharkhand,356,Lohardaga,145722,16765,2282,175745,1,0,0,0,0,8202,409691
20,Jharkhand,357,East Singhbum,412587,58544,91686,388863,42,29,0,40,0,22146,1786890
20,Jharkhand,358,Palamu,666463,94442,35157,352021,67,15,32,15,0,41819,596930
20,Jharkhand,359,Latehar,347936,38088,91,274418,11,0,0,0,0,53042,518676
20,Jharkhand,360,Hazaribagh,548412,70492,2628,476081,1,6,0,1,0,45160,2547094
20,Jharkhand,361,Ramgarh,119968,29161,4147,209934,2,0,6,5,0,18325,426147
20,Jharkhand,362,Dumka,747624,48090,28645,407126,14,4,1,6,0,128562,828974
20,Jharkhand,363,Jamtara,431586,20420,38364,256925,2,27,0,0,0,37074,495548
20,Jharkhand,364,Ranchi,636402,125153,39719,784961,45,8,1,0,0,68396,2376524
20,Jharkhand,365,Khunti,279817,32918,34597,266678,15,0,0,8,0,40844,932483
20,Jharkhand,366,Gumla,558248,90480,7974,608665,10,7,0,3,0,107915,1359659
20,Jharkhand,367,Simdega,403412,26600,14476,418100,14,12,0,9,0,110301,997947
20,Jharkhand,368,West Singhbhum,471002,31269,112791,527897,35,0,0,1,0,38176,2475360
20,Jharkhand,369,Saraikela Kharsawan,305172,30753,75651,364976,13,9,5,19,0,42111,1909162
