ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
29,Karnataka,555,Belgaum,549540,844171,757679,701741,2998,62,5,17,1,21784,2648732
29,Karnataka,556,Bagalkot,222823,234340,622856,383926,539,270,0,980,1,20458,1703285
29,Karnataka,557,Bijapur,202111,177079,347070,569098,1167,8,0,164,0,19462,273409
29,Karnataka,558,Bidar,173634,125510,85948,182854,69,0,0,1743,1,20838,734095
29,Karnataka,559,Raichur,245374,112420,657633,282718,43,0,8,120,0,16384,397976
29,Karnataka,560,Koppal,231413,63467,625367,172578,41,0,0,12,1,8651,4008826
29,Karnataka,561,Gadag,136311,55798,395899,191656,108,0,1,13,0,14258,416130
29,Karnataka,562,Dharwad,172219,61245,79869,74069,91,7,0,1,0,4168,1460262
29,Karnataka,563,Uttar Kannad,336312,73993,8537,10655,20,0,1,0,1,1193,557455
29,Karnataka,564,Haveri,261060,85501,313205,144969,133,0,17,27,2,3347,384290
29,Karnataka,565,Bellary,283699,127407,1005565,253119,59,0,3,111,2,15094,1721528
29,Karnataka,566,Chitradurga,225603,113304,1352087,385058,55,22,8,1521,2,2177,1741574
29,Karnataka,567,Davangere,297377,123596,505630,124542,25,1,0,86,0,2418,2628413
29,Karnataka,568,Shimoga,518653,120563,42526,59719,35,12,0,54,0,6160,2066027
29,Karnataka,569,Udupi,254776,2408,431,2676,1,0,0,0,0,3289,1143010
29,Karnataka,570,Chikmagalur,290007,34362,97962,41040,25,0,0,39,0,1423,2336685
29,Karnataka,571,Tumkur,431251,142047,1290008,427926,44,5,2,3225,2,5956,1628178
29,Karnataka,572,Bengaluru Urban,153861,11168,82873,62464,114,14,1,91,2,28046,1302173
29,Karnataka,573,Mandya,369986,109443,347133,346430,26,0,0,107,0,9408,2185469
29,Karnataka,574,Hassan,548185,107971,199387,129058,34,0,0,108,0,1946,2353284
29,Karnataka,575,Dakshin Kannad,250569,1832,289,32215,14,0,0,13,11,6359,2595523
29,Karnataka,576,Kodagu,71684,5236,650,7603,2,2,0,0,0,8365,184597
29,Karnataka,577,Mysore,492598,21682,203463,208206,561,1,0,15,4,7349,3095800
29,Karnataka,578,Chamarajanagar,249361,9918,135321,144633,33,9,0,31,2,1572,726104
29,Karnataka,579,Gulbarga,385580,73176,112387,446200,78,9,2,66,1,44221,382911
29,Karnataka,580,Yadgir,233336,57438,437092,256848,53,10,3,31,0,20504,326132
29,Karnataka,581,Kolar,209642,26520,483892,93713,17,0,0,62,0,5292,8607729
29,Karnataka,582,Chikballapur,213815,26397,613193,188392,42,0,0,25,0,2481,2382658
29,Karnataka,583,Bangalore Rural,170722,16924,118788,95156,21,12,0,42,0,14131,7145341
29,Karnataka,584,Ramanagara,287502,19644,127988,150130,126,0,0,86,0,7102,2356885
