ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
32,Kerala,588,Kasaragod,73968,1506,50,37427,8,0,0,1,2,4666,615472
32,Kerala,589,Kannur,91687,2446,8,65166,7,0,0,0,3,12312,1325481
32,Kerala,590,Wayanad,79753,4353,238,45365,16,4,0,0,3,9147,889246
32,Kerala,591,Kozhikode,94248,3915,25,55215,18,0,0,0,4,11159,1760401
32,Kerala,592,Malappuram,87035,15077,28,169892,41,2,0,0,1,2925,6137460
32,Kerala,593,Palakkad,166952,9743,914,144095,61,6,0,32,3,9258,2028591
32,Kerala,594,Thrissur,111932,20520,21,129579,106,29,0,4,4,13041,3399382
32,Kerala,595,Ernakulam,108061,10029,7,126599,46,3,0,21,0,9142,4033870
32,Kerala,596,Idukki,97395,5067,9,102432,25,2,0,0,0,14670,746356
32,Kerala,597,Kottayam,81074,6163,19,94968,28,1,0,2,1,9200,2212169
32,Kerala,598,Alappuzha,79370,5726,18,55109,17,2,0,0,0,424,1779061
32,Kerala,599,Pathanamthitta,61157,3260,27,52106,12,2,0,1,0,894,798872
32,Kerala,600,Kollam,110542,8658,12,124326,31,4,0,0,3,1582,1522105
32,Kerala,601,Thiruvananthapuram,98822,5041,106,156882,86,3,0,4,2,5443,2523439
