ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
23,Madhya Pradesh,746,HOSHANGABAD,330352,112350,259,88045,201,12,0,123,2,714,409967
23,Madhya Pradesh,747,SAGAR,744975,236093,871,172079,297,366,1,81,2,1474,304600
23,Madhya Pradesh,748,NARSINGHPUR,254904,116684,591,122180,196,24,0,206,0,1654,44586
23,Madhya Pradesh,749,ASHOKNAGAR,234315,146970,1892,106301,96,1,21,37,0,1078,15705
23,Madhya Pradesh,750,SEHORE,368540,275960,563,134706,154,14,2,64,0,1344,423470
23,Madhya Pradesh,751,SHIVPURI,369906,411008,35963,337857,174,5,8,400,3,4318,129462
23,Madhya Pradesh,752,JHABUA,430840,132650,2516,424992,137,0,0,273,0,5,628382
23,Madhya Pradesh,753,MORENA,108548,685578,14607,165323,348,38,256,498,59,4386,164252
23,Madhya Pradesh,754,NEEMUCH,237347,169746,6701,166426,451,0,0,123,301,1115,46746
23,Madhya Pradesh,755,DHAR,663537,279509,5353,687834,391,8,1,212,0,355,677395
23,Madhya Pradesh,756,BHIND,126126,424230,12516,184256,241,3,7,98,212,4962,15742
23,Madhya Pradesh,757,KHARGONE,612923,274497,2568,425712,201,13,0,222,0,2117,453412
23,Madhya Pradesh,758,ALIRAJPUR,362015,73417,1466,498099,10,0,7,271,0,20,1351543
23,Madhya Pradesh,759,GUNA,374738,300904,2057,140961,185,0,1,429,19,2564,49192
23,Madhya Pradesh,760,UJJAIN,265521,352004,1978,265505,969,138,5,150,20,3000,173307
23,Madhya Pradesh,761,DINDORI,448069,62845,309,75530,107,33,0,7,0,4457,219140
23,Madhya Pradesh,762,BURHANPUR,137834,54672,30070,121851,207,1,1,102,0,231,99746
23,Madhya Pradesh,763,BALAGHAT,605928,186805,35,328851,104,0,0,10,0,5683,657195
23,Madhya Pradesh,764,VIDISHA,314682,161822,816,88020,162,49,3,113,0,461,67653
23,Madhya Pradesh,765,SHEOPUR,264113,198624,8591,203050,140,1,26,300,60,2849,94587
23,Madhya Pradesh,766,CHHINDWARA,712157,167074,336,368674,274,128,0,174,7,1199,667474
23,Madhya Pradesh,767,RATLAM,319748,193437,2425,282104,513,0,10,56,20,806,347617
23,Madhya Pradesh,768,BHOPAL,124565,111371,715,50076,135,14,21,7,2,3359,1174428
23,Madhya Pradesh,769,GWALIOR,146644,269483,18576,154554,279,31,407,747,279,2391,129798
23,Madhya Pradesh,770,SATNA,579909,244153,20241,289844,103,260,357,180,0,6398,39245
23,Madhya Pradesh,771,SIDHI,520013,110308,12795,299223,11,0,6,32,0,8684,333337
23,Madhya Pradesh,772,TIKAMGARH,307206,316146,35662,364233,441,147,3,73,2,4344,236332
23,Madhya Pradesh,773,DEWAS,387133,249338,45,246694,282,1,0,96,1,982,185062
23,Madhya Pradesh,774,UMARIA,330607,51632,3969,97151,18,0,0,6,0,2146,44668
23,Madhya Pradesh,775,MANDLA,486200,82098,102,109461,59,0,0,1,4,17160,362429
23,Madhya Pradesh,776,SINGRAULI,549102,81239,4321,227350,15,92,5,9,0,2291,167494
23,Madhya Pradesh,777,REWA,662769,261655,24145,292711,114,8,1,12,0,11701,199650
23,Madhya Pradesh,778,ANUPPUR,380613,63566,117,74527,117,0,0,1,0,2315,367497
23,Madhya Pradesh,779,BETUL,573205,173775,2360,233219,393,10,2,299,10,3454,525215
23,Madhya Pradesh,780,HARDA,159487,83911,102,76337,216,0,0,1,0,279,34276
23,Madhya Pradesh,781,DATIA,114229,290054,14309,163737,101,38,299,538,3,3470,37947
23,Madhya Pradesh,782,RAJGARH,271753,483042,1189,171777,358,5,0,245,0,2494,244739
23,Madhya Pradesh,783,CHHATARPUR,303664,397354,16661,435965,578,9,993,739,4,15596,168596
23,Madhya Pradesh,784,DAMOH,480106,137718,2409,151180,165,22,1,42,0,3828,30653
23,Madhya Pradesh,785,AGAR MALWA,159108,161642,1119,143352,282,0,0,179,72,354,96469
23,Madhya Pradesh,786,SEONI,445612,113909,91,214520,115,11,12,23,0,1540,273245
23,Madhya Pradesh,787,EAST NIMAR,373827,170331,136,211682,144,47,0,56,0,355,118692
23,Madhya Pradesh,788,SHAJAPUR,163296,213622,107,106282,225,0,0,65,0,979,116701
23,Madhya Pradesh,789,BARWANI,420132,144617,3295,441719,76,0,0,94,10,1462,826926
23,Madhya Pradesh,790,RAISEN,454429,138604,1339,141671,172,11,0,85,0,595,125327
23,Madhya Pradesh,791,JABALPUR,294821,101598,1013,124914,76,1,0,4,1,4991,2658848
23,Madhya Pradesh,792,SHAHDOL,524536,115837,3984,139300,10,0,0,0,0,3623,144981
23,Madhya Pradesh,793,PANNA,365515,197897,10856,203125,59,18,27,392,0,7337,42042
23,Madhya Pradesh,794,KATNI,381404,97825,1730,148375,120,13,59,39,0,5722,88380
23,Madhya Pradesh,795,INDORE,239874,173194,219,144673,659,3,1,32,11,749,679528
23,Madhya Pradesh,796,Mandsaur,263951,254333,10495,218516,804,0,0,189,649,1225,166220
