ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
27,Maharashtra,497,Nandurbar,304305,73966,36210,323264,224,0,0,198,9,7314,940194
27,Maharashtra,498,Dhule,354544,97659,492632,332041,907,0,0,74,5,9116,2039025
27,Maharashtra,499,Jalgaon,577302,269105,70471,433156,1053,175,16,342,93,9599,1030660
27,Maharashtra,500,Buldhana,461529,134148,125280,364689,356,23,8,328,5,5251,400121
27,Maharashtra,501,Akola,233271,49797,9581,151076,342,0,0,2364,1,1356,188029
27,Maharashtra,502,Washim,168091,53826,9394,127477,125,0,36,59,2,7193,127107
27,Maharashtra,503,Amravati,464967,129627,83200,340681,409,117,1,1591,1,4801,1389783
27,Maharashtra,504,Wardha,275880,46649,5358,161359,35,0,0,26,1,590,274733
27,Maharashtra,505,Nagpur,418548,72482,15476,289098,73,0,0,47,5,1909,1365358
27,Maharashtra,506,Bhandara,213036,106861,3169,199183,46,0,0,12,3,83,315774
27,Maharashtra,507,Gondia,292627,92527,1189,194975,73,0,2,0,0,366,641543
27,Maharashtra,508,Gadchiroli,459471,66259,18605,239587,2,0,0,0,0,25210,1018969
27,Maharashtra,509,Chandrapur,395914,64038,50465,240280,11,2,0,20,2,1556,672089
27,Maharashtra,510,Yavatmal,596113,88384,22587,349979,308,21,2,198,19,1406,886784
27,Maharashtra,511,Nanded,502428,236386,76893,318564,457,0,12,4634,125,6529,557371
27,Maharashtra,512,Hingoli,232203,74125,16907,154284,112,57,0,71,0,1670,171869
27,Maharashtra,513,Parbhani,299861,98495,31673,171698,293,16,0,656,7,6428,173237
27,Maharashtra,514,Jalna,421975,82073,30534,300988,273,8,0,200,2,4074,294119
27,Maharashtra,515,Aurangabad,538572,94430,88244,431182,643,40,11,325,6,10646,602141
27,Maharashtra,516,Nashik,895050,221234,243373,626644,1485,7,15,274,22,7616,8013261
27,Maharashtra,517,Thane,79522,92521,1827,60045,214,3,8,53,0,1961,2976468
27,Maharashtra,519,Mumbai,3226,24388,458,6389,80,20,1,38,13,406,20063
27,Maharashtra,520,Raigad,176906,62225,2203,90188,235,0,0,11,7,513,4044852
27,Maharashtra,521,Pune,846745,298148,290633,575905,3148,12,410,223,42,11439,16406458
27,Maharashtra,522,Ahmednagar,1378303,221355,285751,1194052,2434,63,2,825,5,5466,8971487
27,Maharashtra,523,Beed,496368,258440,68693,468149,507,4,0,481,3,3803,1540090
27,Maharashtra,524,Latur,257508,257187,35094,148886,296,6,3,438,14,6165,504048
27,Maharashtra,525,Osmanabad,362422,188446,22131,217400,269,5,2,26,25,590,759610
27,Maharashtra,526,Solapur,745404,496454,125386,962504,581,59,29,1903,30,10457,3099062
27,Maharashtra,527,Satara,352436,326896,185905,364348,757,0,0,767,2,313,3995976
27,Maharashtra,528,Ratnagiri,235060,41112,1212,38161,20,0,2,115,1,128,859984
27,Maharashtra,529,Sindhudurg,105920,51334,22,30935,3,0,0,0,0,1364,919101
27,Maharashtra,530,Kolhapur,283637,568884,96176,130053,1085,37,9,36,5,806,3380613
27,Maharashtra,531,Sangli,324756,493998,130754,454125,1106,9,3,1223,0,3317,3744287
27,Maharashtra,678,Palghar,238404,70233,2843,113538,235,11,109,14,10,1559,1973499
