ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
21,Odisha,370,Bargarh,244755,4825,62884,175820,5,0,0,0,0,1947,593170
21,Odisha,371,Jharsuguda,95638,1524,6956,57052,0,0,0,0,0,1330,142920
21,Odisha,372,Sambalpur,247795,5898,18840,200748,0,0,0,0,0,6453,519190
21,Odisha,373,Deogarh,128338,1571,1936,101691,0,0,0,0,0,832,179909
21,Odisha,374,Sundargarh,459733,17094,21158,576052,13,0,0,0,0,30219,1449266
21,Odisha,375,Kendujhar,626833,5707,51040,517321,13,0,0,0,0,3166,2023721
21,Odisha,376,Mayurbhanj,673442,8569,98674,1050151,8,3,0,1,0,18324,3761128
21,Odisha,377,Baleshwar,622128,1342,1987,313395,1,2,0,0,0,2851,1652494
21,Odisha,378,Bhadrak,452147,3489,842,107591,2,0,0,4,0,270,345067
21,Odisha,379,Kendrapara,322484,14561,15675,112532,0,0,1,0,0,1079,445595
21,Odisha,380,Jagatsinghapur,209978,10761,12101,107573,4,1,0,0,0,858,494937
21,Odisha,381,Cuttack,548770,14827,67753,221665,5,2,2,1,0,932,1403204
21,Odisha,382,Jajapur,478510,3895,10098,186456,8,0,0,0,0,4443,328773
21,Odisha,383,Dhenkanal,376196,13729,19429,164167,3,0,0,0,0,367,795049
21,Odisha,384,Anugul,364263,6321,35110,200353,1,0,0,0,0,1461,221122
21,Odisha,385,Nayagarh,210092,12363,34629,102397,1,0,0,0,0,0,670909
21,Odisha,386,Khordha,276331,9636,26974,79402,14,0,13,0,0,1290,1575988
21,Odisha,387,Puri,367150,13524,24774,111717,5,0,0,0,7,1241,597382
21,Odisha,388,Ganjam,445913,46775,165614,235336,15,0,0,59,1,3784,2939024
21,Odisha,389,Gajapati,167664,5454,9853,139274,0,0,0,4,0,7657,364483
21,Odisha,390,Kandhamal,261008,48739,6803,269391,0,0,0,0,0,5627,473199
21,Odisha,391,Boudh,129631,6730,64545,115103,0,0,0,0,0,156,106865
21,Odisha,392,Sonepur,112333,2570,44787,108787,1,19,0,0,0,738,354398
21,Odisha,393,Balangir,312205,20760,92209,313982,1,0,0,0,0,1475,2147654
21,Odisha,394,Nuapada,155571,12659,29903,80190,1,0,0,12,0,647,301749
21,Odisha,395,Kalahandi,284533,21432,80834,257495,5,0,0,1,0,2283,812278
21,Odisha,396,Rayagada,247259,48268,21561,154622,0,0,0,0,0,8278,466503
21,Odisha,397,Nabarangpur,338681,27882,102986,63027,0,0,0,0,0,3929,664686
21,Odisha,398,Koraput,443778,61019,128662,143646,7,0,0,1,0,6485,1009944
21,Odisha,399,Malkangiri,300811,6400,20532,126516,3,0,2,0,0,17040,598650
