ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
3,Punjab,35,Gurdaspur,181922,208957,911,9290,1064,10,19,45,0,2654,877576
3,Punjab,36,Kapurthala,72682,103096,211,5039,154,27,55,1,0,743,168716
3,Punjab,37,Jalandhar,150699,187876,984,12184,574,0,12,1,0,1367,135285
3,Punjab,38,Hoshiarpur,151907,169082,1502,12979,747,75,51,20,0,1786,1117623
3,Punjab,39,Nawanshahr (Sbs Nagar),62678,87661,357,5226,116,0,45,0,0,215,127581
3,Punjab,40,Fatehgarh Sahib,68655,113268,834,6455,195,4,21,8,2,2506,402641
3,Punjab,41,Ludhiana,227300,371622,2650,29100,1483,54,251,22,2,6755,2753613
3,Punjab,42,Moga,109048,168012,2126,16251,564,0,24,44,2,1824,136744
3,Punjab,43,Firozepur,91179,170646,2099,9894,329,13,12,8,1,676,483159
3,Punjab,44,Muktsar,113102,116110,7529,31635,835,1,239,56,6,382,166055
3,Punjab,45,Faridkot,70472,93343,2175,15333,622,13,45,16,7,936,56161
3,Punjab,46,Bathinda,155456,234702,6021,48112,660,62,156,39,26,2530,336392
3,Punjab,47,Mansa,83315,223023,6298,20670,358,16,111,12,5,2256,341416
3,Punjab,48,Patiala,124148,275744,8462,10359,448,7,29,4,0,4554,1909462
3,Punjab,49,Amritsar,191120,267563,1038,11315,1119,6,41,25,2,2281,469795
3,Punjab,50,Tarn Taran,106421,237717,4755,8638,398,12,7,16,2,1428,175308
3,Punjab,51,Rupnagar,72844,132718,201,6216,303,8,26,15,3,2579,186114
3,Punjab,52,S.A.S Nagar,41699,116311,7749,7296,1974,16,26,18,6,5954,1835237
3,Punjab,53,Sangrur,160487,402475,4184,30580,628,13,102,33,10,5901,2598279
3,Punjab,54,Barnala,64601,144699,1113,10934,301,10,149,5,2,2493,2358341
3,Punjab,669,Fazilka,155016,161979,22993,32038,295,0,194,49,40,2684,62966
3,Punjab,679,Pathankot,76709,29343,1368,8405,711,18,29,34,4,457,951520
