ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
33,Tamil Nadu,602,Thiruvallur,282138,51239,63236,243313,89,29,4,30,0,1973,756033
33,Tamil Nadu,603,Chennai,25588,7789,275,12107,655,4,47,10,0,140,72694
33,Tamil Nadu,604,Kanchipuram,428458,41940,118823,209468,37,5,104,33,0,608,392043
33,Tamil Nadu,605,Vellore,582221,16130,210317,305430,74,8,0,91,0,2288,1866187
33,Tamil Nadu,606,Tiruvannamalai,739467,5114,177712,248410,10,23,55,28,0,5361,453915
33,Tamil Nadu,607,Villupuram,873822,8942,216692,471451,157,20,9,63,0,3662,1615305
33,Tamil Nadu,608,Salem,633437,48411,336885,576380,85,360,0,27,0,6519,5117756
33,Tamil Nadu,609,Namakkal,267796,63328,101866,492711,49,3,1,4,0,8583,48375945
33,Tamil Nadu,610,Erode,340426,87416,197934,420691,337,37,1,149,3,2025,6185870
33,Tamil Nadu,611,The Nilgiris,26095,2494,2502,17585,197,25,14,74,0,473,71834
33,Tamil Nadu,612,Dindigul,297004,27061,172066,348868,883,560,0,59,3,1560,4122258
33,Tamil Nadu,613,Karur,165036,26845,263792,228249,34,6,3,4,0,1397,1039118
33,Tamil Nadu,614,Tiruchirappalli,336903,8792,136163,559063,77,40,2,9,0,1280,1683616
33,Tamil Nadu,615,Perambalur,132472,1028,31089,123719,8,5,0,0,0,670,525684
33,Tamil Nadu,616,Ariyalur,161093,1831,38061,250487,6,16,0,0,0,1998,286423
33,Tamil Nadu,617,Cuddalore,353663,6031,42675,341587,15,161,44,20,0,8280,1054647
33,Tamil Nadu,618,Nagapattinam,251634,7093,32554,486509,69,29,0,1,0,426,564913
33,Tamil Nadu,619,Thiruvarur,200248,1212,1279,290998,42,0,0,5,0,551,370702
33,Tamil Nadu,620,Thanjavur,350527,3749,25025,429251,88,16,1,1,0,610,815455
33,Tamil Nadu,621,Pudukkottai,360299,3522,133569,479440,16,16,0,10,0,273,2199888
33,Tamil Nadu,622,Sivaganga,246623,885,177058,339481,12,0,5,3,0,845,1174770
33,Tamil Nadu,623,Madurai,262725,3873,108429,270564,27,21,0,13,0,323,768019
33,Tamil Nadu,624,Theni,110275,1423,47699,95388,32,40,0,26,0,819,618897
33,Tamil Nadu,625,Virudhunagar,206593,6200,419017,505861,29,0,0,5,0,1384,971527
33,Tamil Nadu,626,Ramanathapuram,88466,493,293621,393956,8,1,0,89,0,1589,618806
33,Tamil Nadu,627,Tuticorin,117605,4760,184606,380917,52,32,1,160,0,1601,703948
33,Tamil Nadu,628,Tirunelveli,298106,14560,216036,379818,42,94,3,139,0,3611,1785777
33,Tamil Nadu,629,Kanniyakumari,70371,1409,224,108901,17,2,0,4,0,1502,933352
33,Tamil Nadu,630,Dharmapuri,359788,25083,89313,228386,51,5,0,124,0,993,4552310
33,Tamil Nadu,631,Krishnagiri,395757,9843,231303,192414,71,13,1,171,0,2823,5974000
33,Tamil Nadu,632,Coimbatore,259917,3170,99642,195781,328,9,10,61,1,1160,8382014
33,Tamil Nadu,633,Tiruppur,294107,27129,331028,261562,230,10,0,15,0,1445,16727394
