ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
36,Telangana,532,Adilabad,311163,48649,153202,186322,285,64,1,34,6,1890,554199
36,Telangana,533,Nizamabad,101252,206898,735549,156619,23,2,0,0,0,1749,1719699
36,Telangana,534,Karimnagar,82412,95344,638706,92687,14,0,0,35,7,6573,2168420
36,Telangana,535,Medak,89355,189505,637063,152619,39,0,0,195,0,4594,2458380
36,Telangana,536,Hyderabad,15635,23327,13231,33876,761,24,3,11,31,116,24699
36,Telangana,537,Rangareddi,240826,167018,767125,256632,262,1206,75,16,1,6076,24069700
36,Telangana,538,Mahbubnagar,239883,149637,2302222,280693,80,118,0,201,0,20812,2824158
36,Telangana,539,Nalgonda,203456,309135,1098300,336324,23,0,1,4,0,6728,4435232
36,Telangana,540,Warangal Rural,91917,119476,732481,103591,0,7,0,0,0,8734,2045503
36,Telangana,541,Khammam,141117,375097,667318,190013,2,0,0,61,0,5641,2159090
36,Telangana,641,Nirmal,179045,121193,502576,131866,57,0,0,43,0,2981,501264
36,Telangana,642,Jagitial,47405,124248,610985,97033,6,15,0,0,0,14895,866795
36,Telangana,643,PEDDAPALLI,55946,90633,549286,96449,5,5,0,2,1,3969,1069946
36,Telangana,644,RAJANNA SIRCILLA,43818,73422,388227,87723,40,0,0,5,0,2531,743767
36,Telangana,645,MANCHERIAL,179757,105798,520731,183526,1,11,0,53,0,2259,868144
36,Telangana,646,KAMAREDDY,112157,181068,573769,167831,95,0,0,520,0,5600,1374712
36,Telangana,647,WARANGAL URBAN,38125,67141,387742,54787,7,0,0,7,1,8342,854260
36,Telangana,648,JAYASHANKAR BHUPALAPALLY,168849,123890,420601,156331,0,26,0,0,0,1950,935847
36,Telangana,649,MAHABUBABAD,181554,129628,677881,178035,2,0,0,7,0,7818,1108991
36,Telangana,650,JANGOAN,106628,129656,679929,126668,1,0,0,0,0,3456,872562
36,Telangana,651,BHADRADRI KOTHAGUDEM,283630,172284,267256,255909,7,0,1,0,1,3191,1610547
36,Telangana,652,SANGAREDDY,153829,165273,438757,229029,114,16,6,464,6,6145,1240991
36,Telangana,653,SIDDIPET,126615,177912,801259,183442,14,0,0,47,0,8705,9137424
36,Telangana,654,WANAPARTHY,75089,72531,976832,80608,0,2,0,30,13,8922,765609
36,Telangana,655,NAGARKURNOOL,223475,111755,967926,206403,5,0,0,15,0,11210,2769677
36,Telangana,656,JOGULAMBA GADWAL,75463,58240,576693,67568,27,8,0,0,0,5053,1480149
36,Telangana,657,SURYAPET,95148,289759,779090,140439,1,0,0,39,0,2634,2002987
36,Telangana,658,YADADRI BHUVANAGIRI,104965,158048,650426,147947,410,0,0,178,4,2442,4389080
36,Telangana,659,VIKARABAD,172506,80401,237536,254144,25,38,4,47,0,9947,533667
36,Telangana,660,KUMURAM BHEEM ASIFABAD,264451,49445,160958,259539,0,1,0,17,0,544,455807
36,Telangana,661,MEDCHAL MALKAJGIRI,27068,59895,149401,40020,14,15,0,0,0,2485,3958098
