ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
9,Uttar Pradesh,132,Saharanpur,266504,471973,15605,61682,1668,339,48,37,43,10287,526121
9,Uttar Pradesh,133,Muzaffarnagar,291224,459747,5664,29793,2182,42,225,185,28,8666,22316
9,Uttar Pradesh,134,Bijnor,378290,622405,4022,91889,2162,48,62,53,0,10168,342997
9,Uttar Pradesh,135,Moradabad,176934,408720,2900,96932,1875,18,6,35,0,3572,113771
9,Uttar Pradesh,136,Rampur,106096,353580,6761,80830,1738,20,25,50,1,1698,85648
9,Uttar Pradesh,137,Amroha,216649,514547,1076,75742,847,27,3,11,2,1736,25752
9,Uttar Pradesh,138,Meerut,244585,515704,3828,43470,1958,10,262,102,5,8276,391369
9,Uttar Pradesh,139,Baghpat,145930,316815,2178,16948,1262,173,112,112,111,3580,73995
9,Uttar Pradesh,140,Ghaziabad,100200,213720,914,17397,577,38,85,142,12,2583,159515
9,Uttar Pradesh,141,Gautam Buddha Nagar,90867,264982,1220,18114,540,0,52,91,2,3012,91657
9,Uttar Pradesh,142,Bulandshahr,304321,972027,3793,127975,1807,1549,274,275,1,6332,34890
9,Uttar Pradesh,143,Aligarh,311298,942498,9974,136507,1755,16,814,128,35,6262,210949
9,Uttar Pradesh,144,Hathras,124447,417778,3985,84215,872,45,522,201,95,5274,78121
9,Uttar Pradesh,145,Mathura,214236,576556,24099,64681,1040,87,131,468,252,11360,12612
9,Uttar Pradesh,146,Agra,282788,1066798,18578,147937,1190,109,101,1189,424,14029,91453
9,Uttar Pradesh,147,Firozabad,164313,645558,6584,182510,531,12,152,285,161,6135,37831
9,Uttar Pradesh,148,Mainpuri,139639,592912,10754,266679,808,36,26,168,26,4343,41666
9,Uttar Pradesh,149,Budaun,279790,1107170,12837,176402,3228,73,70,78,4,8327,261876
9,Uttar Pradesh,150,Bareilly,234979,707609,3097,130533,4376,17,51,118,8,4695,175359
9,Uttar Pradesh,151,Pilibhit,160287,220378,603,46890,1152,0,0,16,1,3009,23760
9,Uttar Pradesh,152,Shahjahanpur,261143,605387,3005,113702,1901,5,0,24,5,4545,90381
