ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
5,Uttarakhand,709,Almora,149080,77444,2186,185319,239,101,1392,4,0,359,72309
5,Uttarakhand,710,Bageshwar,76181,31432,20800,102075,243,3,1714,2,0,114,17986
5,Uttarakhand,711,chamoli,145625,37922,75417,96861,600,0,4064,4,0,287,34875
5,Uttarakhand,712,Champawat,79686,18599,10,60516,44,116,547,0,0,80,121577
5,Uttarakhand,713,Dehradun,194043,52185,6222,158314,444,131,1724,254,0,1692,583703
5,Uttarakhand,714,Haridwar,179395,214480,4697,26594,456,30,18,16,0,6129,274851
5,Uttarakhand,715,Nainital,176506,77759,828,66213,734,188,1368,2,15,779,639479
5,Uttarakhand,716,Pauri Garhwal,256311,30076,13276,142816,588,96,1374,186,0,1092,64070
5,Uttarakhand,717,Pithoragarh,162869,37056,44533,226060,622,0,2798,18,0,161,95814
5,Uttarakhand,718,Rudraprayag,74237,31115,13084,28363,217,17,2561,1,0,44,25877
5,Uttarakhand,719,Tehri Garhwal,86362,79394,21145,126944,479,3,2667,8,0,623,59815
5,Uttarakhand,720,Udham Singh Nagar,166349,152911,2068,51014,1181,19,77,23,0,6030,2997991
5,Uttarakhand,721,Uttarkashi,105479,25945,80349,100882,900,1,5989,71,0,269,30337
