ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
19,West Bengal,327,Darjeeling,203881,6992,969,164834,123,72,1,32,0,57166,848610
19,West Bengal,328,Jalpaiguri,727592,5381,8169,512322,6,0,0,0,0,36680,1290753
19,West Bengal,329,Coochbehar,1226670,6397,63824,486974,173,23,0,2,0,7372,1917542
19,West Bengal,330,Dinajpur Uttar,1091590,12384,1521,885282,14,0,0,0,0,25809,2597607
19,West Bengal,331,Dinajpur Dakshin,532056,1920,6295,598137,6,0,0,3,0,41055,1880668
19,West Bengal,332,Maldah,1038763,38439,32919,1376487,53,7,0,8,0,70969,2982438
19,West Bengal,333,Murshidabad,1199817,66783,51415,1751276,274,14,3,6,34,8236,4864786
19,West Bengal,334,Birbhum,1185333,94938,159206,1168796,21,0,1,0,0,38374,4614872
19,West Bengal,335,Bardhaman,1532669,58942,135965,1370985,66,177,0,3,0,21327,7508347
19,West Bengal,336,Nadia,816780,17157,24669,924339,95,15,4,4,0,4923,3389479
19,West Bengal,337,24 Paraganas North,697601,34443,34356,780001,31,0,0,0,0,7241,6596548
19,West Bengal,338,Hooghly,912745,35229,1655,886410,8,3,0,0,0,16671,3597064
19,West Bengal,339,Bankura,1491831,64427,71889,1064468,36,3,0,3,9,20648,5372542
19,West Bengal,340,Purulia,915274,77650,186925,966681,14,0,0,5,0,30510,4101529
19,West Bengal,341,Howrah,226388,5724,237,157017,2,1,0,1,0,362,1376937
19,West Bengal,342,Kolkata,1003,459,93,3625,0,0,0,1,0,335,29728
19,West Bengal,343,24 Paraganas South,1019495,11709,82258,791587,266,5,16,1,0,7348,9271700
19,West Bengal,344,Medinipur West,1758443,37649,18172,872869,20,8,0,12,0,25438,5222355
19,West Bengal,345,Medinipur East,1093499,263,5948,475230,17,0,1,12,0,1891,4295172
19,West Bengal,662,Alipurduar,520443,2209,7476,281764,10,3,0,0,2,58991,1307902
19,West Bengal,830,PASCHIM BARDHAMAN,273637,22682,6498,256143,0,18,0,1,0,16635,653934
19,West Bengal,831,KALIMPONG,48915,129,82,64109,7,0,0,0,0,13208,321093
19,West Bengal,832,Jhargram,563491,29015,52345,440004,2,0,0,0,0,29167,3280996
