ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
35,Andaman And Nicobar Islands,638,Nicobars,2004,49,0,8884,0,0,0,0,0,30266,82702
35,Andaman And Nicobar Islands,639,North And Middle Andaman,15718,2617,0,27664,0,0,0,2,0,4956,493083
35,Andaman And Nicobar Islands,640,South Andamans,18716,1034,5,28213,0,0,0,0,0,5266,713375
28,Andhra Pradesh,542,Srikakulam,571943,48481,738910,335684,10,0,102,0,0,3092,2075366
28,Andhra Pradesh,543,Vizianagaram,490989,135858,540336,271205,36,367,0,196,0,5548,5492310
28,Andhra Pradesh,544,Visakhapatanam,648743,318846,371430,435620,542,56,13,8,1,5278,5960859
28,Andhra Pradesh,545,East Godavari,396021,585246,316480,318696,52,24,1,10,0,18646,28117464
28,Andhra Pradesh,546,West Godavari,201102,627909,478551,207067,31,38,9,11,2,7459,18274444
28,Andhra Pradesh,547,Krishna,78846,669773,593007,196986,20,0,0,1,0,7361,15783526
28,Andhra Pradesh,548,Guntur,95927,882347,704863,196153,91,6,1,70,9,4128,8538782
28,Andhra Pradesh,549,Prakasam,68309,926651,2033479,498472,15,0,0,85,0,5676,1327666
28,Andhra Pradesh,550,Spsr Nellore,107858,745829,1370812,453820,15,1,1,35,71,3785,2149482
28,Andhra Pradesh,551,Y.S.R.,137099,486581,1869861,578607,63,1,0,101,0,3625,1853797
28,Andhra Pradesh,552,Kurnool,356122,419855,1985957,610574,188,32,53,853,0,11482,1288204
28,Andhra Pradesh,553,Anantapur,497102,285443,4926587,884186,239,20,60,3204,62,12767,2523575
28,Andhra Pradesh,554,Chittoor,950026,86680,1696698,535063,37,0,0,104,21,3111,14477677
12,Arunachal Pradesh,245,Tawang,17362,2,3195,1895,31,1285,0,0,0,2607,17916
12,Arunachal Pradesh,246,West Kameng,15215,11,2001,5764,95,1354,0,0,0,3028,30797
12,Arunachal Pradesh,247,East Kameng,24749,64,8,16071,6,0,0,0,0,26376,167698
12,Arunachal Pradesh,248,Papum Pare,28890,1631,48,14844,0,0,0,0,0,20080,171771
12,Arunachal Pradesh,249,Upper Subansiri,15813,580,86,11903,0,0,0,0,0,25734,77884
12,Arunachal Pradesh,250,West Siang,11568,0,56,5070,1,149,0,0,0,13148,57314
12,Arunachal Pradesh,251,East Siang,35946,272,0,11881,0,3,0,0,0,24724,111823
12,Arunachal Pradesh,252,Upper Siang,7220,0,9,3198,0,0,0,0,0,16545,101358
12,Arunachal Pradesh,253,Changlang,26569,849,875,13129,1,63,0,0,0,14216,127426
12,Arunachal Pradesh,254,Tirap,2143,0,2,3378,0,0,0,0,0,5272,33373
12,Arunachal Pradesh,255,Lower Subansiri,38175,76,334,12113,4,0,0,0,0,24520,144371
12,Arunachal Pradesh,256,Kurung Kumey,1637,0,3,4817,0,0,0,0,0,18688,89550
12,Arunachal Pradesh,257,Dibang Valley,211,0,0,982,0,4,0,0,0,2449,23073
12,Arunachal Pradesh,258,Lower Dibang Valley,14524,1367,0,5772,0,0,0,0,0,8570,92078
12,Arunachal Pradesh,259,Lohit,66448,1466,10,30881,3,52,0,0,0,21764,158630
12,Arunachal Pradesh,260,Anjaw,1360,0,0,961,0,0,0,0,0,5109,14655
12,Arunachal Pradesh,675,Longding,2802,0,0,809,0,0,0,0,0,3977,11065
12,Arunachal Pradesh,700,NAMSAI,8344,61,0,3258,0,0,0,0,0,3728,33097
12,Arunachal Pradesh,707,Kra Daadi,9503,0,718,11146,0,0,0,0,0,16701,83276
12,Arunachal Pradesh,708,SIANG,10742,0,0,1868,0,0,0,0,0,14227,52420
18,Assam,833,Barpeta,482515,20629,51906,177709,1768,547,60,195,65,11276,3097705
18,Assam,834,BONGAIGAON,256952,1240,11557,107460,237,75,2,0,3,11217,1203076
18,Assam,835,Cachar,354843,50447,27098,139390,212,6,1,21,3,17830,1257160
18,Assam,836,DHEMAJI,526980,16654,2284,115091,401,50,0,1,0,232517,2023598
18,Assam,837,DHUBRI,356057,12427,32292,129714,725,27,0,18,0,1942,1426853
18,Assam,838,Dibrugarh,340624,12533,418,202377,23,14,0,5,0,111522,2057567
18,Assam,839,Goalpara,333621,8531,23191,102978,782,1,0,20,0,49598,1885216
18,Assam,840,Golaghat,611453,30549,2981,198300,826,6,26,8,14,118500,2600339
18,Assam,841,Hailakandi,132228,19215,9173,53181,89,44,0,18,5,2561,773556
18,Assam,842,Jorhat,432395,21097,610,173798,19,18,0,0,4,101073,2035327
18,Assam,843,Kamrup,499937,7076,17667,191743,1365,45,6,27,3,79230,1831405
18,Assam,844,Karbi Anglong,255056,3884,286,279632,15,1,0,0,0,188380,1398605
18,Assam,845,Karimganj,279167,27530,23544,80664,163,22,4,133,10,4054,1280905
18,Assam,846,Kokrajhar,333591,7833,14222,145530,221,72,3,10,1,105271,1146890
18,Assam,847,Lakhimpur,629028,11666,659,202071,113,0,0,5,0,195875,1916948
18,Assam,848,Morigaon,355479,4317,8435,82247,357,29,0,1,0,31322,1367583
18,Assam,849,Nagaon,626451,16304,18661,169825,1346,52,18,8,18,51182,2921646
18,Assam,850,Nalbari,250211,5814,15809,169294,351,2,0,0,0,15518,1098023
18,Assam,851,Dima Hasao,22576,34068,528,30702,10,616,0,22,7,34522,397436
18,Assam,852,Sibsagar,266031,14829,305,103976,51,3,34,2,1,64021,1293545
18,Assam,853,Sonitpur,513984,7162,2992,250708,36,6,4,7,0,76770,1996112
18,Assam,854,Tinsukia,382530,9747,118,154013,26,10,32,2,218,57396,1826842
18,Assam,855,Chirang,207668,1745,1468,62508,29,2,1,0,0,55800,734235
18,Assam,856,BAKSA,364106,813,5208,179978,34,0,0,0,6,81872,1241620
18,Assam,857,Udalguri,383132,2717,2084,131491,61,17,0,64,208,99245,1537621
18,Assam,858,Kamrup (M),120252,953,546,44614,27,14,18,2,0,28351,250531
18,Assam,859,Biswanath,362264,13108,6426,145186,264,92,515,28,0,92600,1025334
18,Assam,860,Majuli,123762,6245,69,20342,98,18,0,0,0,34345,165631
18,Assam,861,South Salmara,141918,4548,14993,61853,210,0,0,2,0,437,1022372
18,Assam,862,Soraideu,88609,916,9,47553,3,0,0,0,0,32694,645446
18,Assam,863,Hojai,298794,1221,1419,70814,123,0,0,8,0,7345,1153734
18,Assam,864,West Karbi Anglong,119599,8827,54,128552,1,0,0,0,0,83069,689126
18,Assam,865,DARRANG,457426,37070,35088,161879,877,131,0,293,1,21665,1410354
10,Bihar,203,Pashchim Champaran,411203,272643,1422,705184,491,177,0,18,0,9040,418559
10,Bihar,204,Purbi Champaran,403669,372782,1363,892014,846,1227,9,53,1,10407,962075
10,Bihar,205,Sheohar,40976,61812,124,185541,103,1,0,7,0,1022,181236
10,Bihar,206,Sitamarhi,179185,381261,272,654395,1079,784,10,229,12,5758,389471
10,Bihar,207,Madhubani,588709,489306,1855,416135,138,25,0,22,0,6987,270389
10,Bihar,208,Supaul,640781,326333,1403,365099,326,29,15,107,0,6578,260701
10,Bihar,209,Araria,746965,214461,281,445383,494,27,336,30,0,3515,754883
